20:24:54 [Thread-20] INFO  by.epam.cashbox.entity.Customer - Client №20 is waiting.
20:24:54 [Thread-12] INFO  by.epam.cashbox.entity.Customer - Client №12 is waiting.
20:24:54 [Thread-18] INFO  by.epam.cashbox.entity.Customer - Client №18 is waiting.
20:24:54 [Thread-11] INFO  by.epam.cashbox.entity.Customer - Client №11 is waiting.
20:24:54 [Thread-14] INFO  by.epam.cashbox.entity.Customer - Client №14 is waiting.
20:24:54 [Thread-15] INFO  by.epam.cashbox.entity.Customer - Client №15 is waiting.
20:24:54 [Thread-19] INFO  by.epam.cashbox.entity.Customer - Client №19 is waiting.
20:24:54 [Thread-10] INFO  by.epam.cashbox.entity.Customer - Client №10 is waiting.
20:24:54 [Thread-17] INFO  by.epam.cashbox.entity.Customer - Client №17 is waiting.
20:24:54 [Thread-7] INFO  by.epam.cashbox.entity.Customer - Client №7 is waiting.
20:24:54 [Thread-6] INFO  by.epam.cashbox.entity.Customer - Client №6 is waiting.
20:24:54 [Thread-8] INFO  by.epam.cashbox.entity.Customer - Client №8 is waiting.
20:24:54 [Thread-9] INFO  by.epam.cashbox.entity.Customer - Client №9 is waiting.
20:24:54 [Thread-16] INFO  by.epam.cashbox.entity.Customer - Client №16 is waiting.
20:24:54 [Thread-18] INFO  by.epam.cashbox.entity.Customer - Client №18 is waiting.
20:24:54 [Thread-15] INFO  by.epam.cashbox.entity.Customer - Client №15 is waiting.
20:24:54 [Thread-11] INFO  by.epam.cashbox.entity.Customer - Client №11 is waiting.
20:24:54 [Thread-6] INFO  by.epam.cashbox.entity.Customer - Client №6 is waiting.
20:24:54 [Thread-17] INFO  by.epam.cashbox.entity.Customer - Client №17 is waiting.
20:24:54 [Thread-12] INFO  by.epam.cashbox.entity.Customer - Client №12 is waiting.
20:24:54 [Thread-20] INFO  by.epam.cashbox.entity.Customer - Client №20 is waiting.
20:24:54 [Thread-13] INFO  by.epam.cashbox.entity.Customer - Client №13 is waiting.
20:24:54 [Thread-14] INFO  by.epam.cashbox.entity.Customer - Client №14 is waiting.
20:24:54 [Thread-7] INFO  by.epam.cashbox.entity.Customer - Client №7 is waiting.
20:24:54 [Thread-10] INFO  by.epam.cashbox.entity.Customer - Client №10 is waiting.
20:24:54 [Thread-19] INFO  by.epam.cashbox.entity.Customer - Client №19 is waiting.
20:24:54 [Thread-8] INFO  by.epam.cashbox.entity.Customer - Client №8 is waiting.
20:24:54 [Thread-16] INFO  by.epam.cashbox.entity.Customer - Client №16 is waiting.
20:24:54 [Thread-9] INFO  by.epam.cashbox.entity.Customer - Client №9 is waiting.
20:24:54 [Thread-9] INFO  by.epam.cashbox.entity.Customer - Client №9 is waiting.
20:24:54 [Thread-8] INFO  by.epam.cashbox.entity.Customer - Client №8 is waiting.
20:24:54 [Thread-20] INFO  by.epam.cashbox.entity.Customer - Client №20 is waiting.
20:24:54 [Thread-16] INFO  by.epam.cashbox.entity.Customer - Client №16 is waiting.
20:24:54 [Thread-12] INFO  by.epam.cashbox.entity.Customer - Client №12 is waiting.
20:24:54 [Thread-14] INFO  by.epam.cashbox.entity.Customer - Client №14 is waiting.
20:24:54 [Thread-7] INFO  by.epam.cashbox.entity.Customer - Client №7 is waiting.
20:24:54 [Thread-11] INFO  by.epam.cashbox.entity.Customer - Client №11 is waiting.
20:24:54 [Thread-10] INFO  by.epam.cashbox.entity.Customer - Client №10 is waiting.
20:24:54 [Thread-19] INFO  by.epam.cashbox.entity.Customer - Client №19 is waiting.
20:24:54 [Thread-6] INFO  by.epam.cashbox.entity.Customer - Client №6 is waiting.
20:24:54 [Thread-15] INFO  by.epam.cashbox.entity.Customer - Client №15 is waiting.
20:24:54 [Thread-13] INFO  by.epam.cashbox.entity.Customer - Client №13 is waiting.
20:24:54 [Thread-17] INFO  by.epam.cashbox.entity.Customer - Client №17 is waiting.
20:24:54 [Thread-18] INFO  by.epam.cashbox.entity.Customer - Client №18 is waiting.
20:24:54 [Thread-18] INFO  by.epam.cashbox.entity.Customer - Client №18 is waiting.
20:24:54 [Thread-13] INFO  by.epam.cashbox.entity.Customer - Client №13 is waiting.
20:24:54 [Thread-7] INFO  by.epam.cashbox.entity.Customer - Client №7 is waiting.
20:24:54 [Thread-6] INFO  by.epam.cashbox.entity.Customer - Client №6 is waiting.
20:24:54 [Thread-19] INFO  by.epam.cashbox.entity.Customer - Client №19 is waiting.
20:24:54 [Thread-11] INFO  by.epam.cashbox.entity.Customer - Client №11 is waiting.
20:24:54 [Thread-10] INFO  by.epam.cashbox.entity.Customer - Client №10 is waiting.
20:24:54 [Thread-12] INFO  by.epam.cashbox.entity.Customer - Client №12 is waiting.
20:24:54 [Thread-20] INFO  by.epam.cashbox.entity.Customer - Client №20 is waiting.
20:24:54 [Thread-9] INFO  by.epam.cashbox.entity.Customer - Client №9 is waiting.
20:24:54 [Thread-8] INFO  by.epam.cashbox.entity.Customer - Client №8 is waiting.
20:24:54 [Thread-16] INFO  by.epam.cashbox.entity.Customer - Client №16 is waiting.
20:24:54 [Thread-17] INFO  by.epam.cashbox.entity.Customer - Client №17 is waiting.
20:24:54 [Thread-15] INFO  by.epam.cashbox.entity.Customer - Client №15 is waiting.
20:24:54 [Thread-14] INFO  by.epam.cashbox.entity.Customer - Client №14 is waiting.
20:24:54 [Thread-13] INFO  by.epam.cashbox.entity.Customer - Client №13 is waiting.
20:24:54 [Thread-11] INFO  by.epam.cashbox.entity.Customer - Client №11 is waiting.
20:24:54 [Thread-14] INFO  by.epam.cashbox.entity.Customer - Client №14 is waiting.
20:24:54 [Thread-15] INFO  by.epam.cashbox.entity.Customer - Client №15 is waiting.
20:24:54 [Thread-10] INFO  by.epam.cashbox.entity.Customer - Client №10 is waiting.
20:24:54 [Thread-6] INFO  by.epam.cashbox.entity.Customer - Client №6 is waiting.
20:24:54 [Thread-20] INFO  by.epam.cashbox.entity.Customer - Client №20 is waiting.
20:24:54 [Thread-7] INFO  by.epam.cashbox.entity.Customer - Client №7 is waiting.
20:24:54 [Thread-18] INFO  by.epam.cashbox.entity.Customer - Client №18 is waiting.
20:24:54 [Thread-8] INFO  by.epam.cashbox.entity.Customer - Client №8 is waiting.
20:24:54 [Thread-19] INFO  by.epam.cashbox.entity.Customer - Client №19 is waiting.
20:24:54 [Thread-16] INFO  by.epam.cashbox.entity.Customer - Client №16 is waiting.
20:24:54 [Thread-12] INFO  by.epam.cashbox.entity.Customer - Client №12 is waiting.
20:24:54 [Thread-9] INFO  by.epam.cashbox.entity.Customer - Client №9 is waiting.
20:24:54 [Thread-17] INFO  by.epam.cashbox.entity.Customer - Client №17 is waiting.
20:24:54 [Thread-6] INFO  by.epam.cashbox.entity.Customer - Client №6 is waiting.
20:24:54 [Thread-17] INFO  by.epam.cashbox.entity.Customer - Client №17 is waiting.
20:24:54 [Thread-10] INFO  by.epam.cashbox.entity.Customer - Client №10 is waiting.
20:24:54 [Thread-11] INFO  by.epam.cashbox.entity.Customer - Client №11 is waiting.
20:24:54 [Thread-7] INFO  by.epam.cashbox.entity.Customer - Client №7 is waiting.
20:24:54 [Thread-14] INFO  by.epam.cashbox.entity.Customer - Client №14 is waiting.
20:24:54 [Thread-15] INFO  by.epam.cashbox.entity.Customer - Client №15 is waiting.
20:24:54 [Thread-12] INFO  by.epam.cashbox.entity.Customer - Client №12 is waiting.
20:24:54 [Thread-9] INFO  by.epam.cashbox.entity.Customer - Client №9 is waiting.
20:24:54 [Thread-20] INFO  by.epam.cashbox.entity.Customer - Client №20 is waiting.
20:24:54 [Thread-8] INFO  by.epam.cashbox.entity.Customer - Client №8 is waiting.
20:24:54 [Thread-16] INFO  by.epam.cashbox.entity.Customer - Client №16 is waiting.
20:24:54 [Thread-19] INFO  by.epam.cashbox.entity.Customer - Client №19 is waiting.
20:24:54 [Thread-18] INFO  by.epam.cashbox.entity.Customer - Client №18 is waiting.
20:24:54 [Thread-13] INFO  by.epam.cashbox.entity.Customer - Client №13 is waiting.
20:24:54 [Thread-12] INFO  by.epam.cashbox.entity.Customer - Client №12 is waiting.
20:24:54 [Thread-8] INFO  by.epam.cashbox.entity.Customer - Client №8 is waiting.
20:24:54 [Thread-20] INFO  by.epam.cashbox.entity.Customer - Client №20 is waiting.
20:24:54 [Thread-17] INFO  by.epam.cashbox.entity.Customer - Client №17 is waiting.
20:24:54 [Thread-16] INFO  by.epam.cashbox.entity.Customer - Client №16 is waiting.
20:24:54 [Thread-19] INFO  by.epam.cashbox.entity.Customer - Client №19 is waiting.
20:24:54 [Thread-10] INFO  by.epam.cashbox.entity.Customer - Client №10 is waiting.
20:24:54 [Thread-15] INFO  by.epam.cashbox.entity.Customer - Client №15 is waiting.
20:24:54 [Thread-13] INFO  by.epam.cashbox.entity.Customer - Client №13 is waiting.
20:24:54 [Thread-7] INFO  by.epam.cashbox.entity.Customer - Client №7 is waiting.
20:24:54 [Thread-11] INFO  by.epam.cashbox.entity.Customer - Client №11 is waiting.
20:24:54 [Thread-9] INFO  by.epam.cashbox.entity.Customer - Client №9 is waiting.
20:24:54 [Thread-14] INFO  by.epam.cashbox.entity.Customer - Client №14 is waiting.
20:24:54 [Thread-18] INFO  by.epam.cashbox.entity.Customer - Client №18 is waiting.
20:24:54 [Thread-6] INFO  by.epam.cashbox.entity.Customer - Client №6 is waiting.
20:24:54 [Thread-8] INFO  by.epam.cashbox.entity.Customer - Client №8 is waiting.
20:24:54 [Thread-16] INFO  by.epam.cashbox.entity.Customer - Client №16 is waiting.
20:24:54 [Thread-18] INFO  by.epam.cashbox.entity.Customer - Client №18 is waiting.
20:24:54 [Thread-20] INFO  by.epam.cashbox.entity.Customer - Client №20 is waiting.
20:24:54 [Thread-9] INFO  by.epam.cashbox.entity.Customer - Client №9 is waiting.
20:24:54 [Thread-13] INFO  by.epam.cashbox.entity.Customer - Client №13 is waiting.
20:24:54 [Thread-10] INFO  by.epam.cashbox.entity.Customer - Client №10 is waiting.
20:24:54 [Thread-12] INFO  by.epam.cashbox.entity.Customer - Client №12 is waiting.
20:24:54 [Thread-19] INFO  by.epam.cashbox.entity.Customer - Client №19 is waiting.
20:24:54 [Thread-17] INFO  by.epam.cashbox.entity.Customer - Client №17 is waiting.
20:24:54 [Thread-7] INFO  by.epam.cashbox.entity.Customer - Client №7 is waiting.
20:24:54 [Thread-6] INFO  by.epam.cashbox.entity.Customer - Client №6 is waiting.
20:24:54 [Thread-11] INFO  by.epam.cashbox.entity.Customer - Client №11 is waiting.
20:24:54 [Thread-15] INFO  by.epam.cashbox.entity.Customer - Client №15 is waiting.
20:24:54 [Thread-14] INFO  by.epam.cashbox.entity.Customer - Client №14 is waiting.
20:24:54 [Thread-8] INFO  by.epam.cashbox.entity.Customer - Client №8 is waiting.
20:24:54 [Thread-16] INFO  by.epam.cashbox.entity.Customer - Client №16 is waiting.
20:24:54 [Thread-9] INFO  by.epam.cashbox.entity.Customer - Client №9 is waiting.
20:24:54 [Thread-6] INFO  by.epam.cashbox.entity.Customer - Client №6 is waiting.
20:24:54 [Thread-13] INFO  by.epam.cashbox.entity.Customer - Client №13 is waiting.
20:24:54 [Thread-7] INFO  by.epam.cashbox.entity.Customer - Client №7 is waiting.
20:24:54 [Thread-15] INFO  by.epam.cashbox.entity.Customer - Client №15 is waiting.
20:24:54 [Thread-11] INFO  by.epam.cashbox.entity.Customer - Client №11 is waiting.
20:24:54 [Thread-19] INFO  by.epam.cashbox.entity.Customer - Client №19 is waiting.
20:24:54 [Thread-10] INFO  by.epam.cashbox.entity.Customer - Client №10 is waiting.
20:24:54 [Thread-14] INFO  by.epam.cashbox.entity.Customer - Client №14 is waiting.
20:24:54 [Thread-12] INFO  by.epam.cashbox.entity.Customer - Client №12 is waiting.
20:24:54 [Thread-20] INFO  by.epam.cashbox.entity.Customer - Client №20 is waiting.
20:24:54 [Thread-18] INFO  by.epam.cashbox.entity.Customer - Client №18 is waiting.
20:24:54 [Thread-17] INFO  by.epam.cashbox.entity.Customer - Client №17 is waiting.
20:24:54 [Thread-6] INFO  by.epam.cashbox.entity.Customer - Client №6 is waiting.
20:24:54 [Thread-11] INFO  by.epam.cashbox.entity.Customer - Client №11 is waiting.
20:24:54 [Thread-9] INFO  by.epam.cashbox.entity.Customer - Client №9 is waiting.
20:24:54 [Thread-13] INFO  by.epam.cashbox.entity.Customer - Client №13 is waiting.
20:24:54 [Thread-10] INFO  by.epam.cashbox.entity.Customer - Client №10 is waiting.
20:24:54 [Thread-16] INFO  by.epam.cashbox.entity.Customer - Client №16 is waiting.
20:24:54 [Thread-12] INFO  by.epam.cashbox.entity.Customer - Client №12 is waiting.
20:24:54 [Thread-7] INFO  by.epam.cashbox.entity.Customer - Client №7 is waiting.
20:24:54 [Thread-17] INFO  by.epam.cashbox.entity.Customer - Client №17 is waiting.
20:24:54 [Thread-20] INFO  by.epam.cashbox.entity.Customer - Client №20 is waiting.
20:24:54 [Thread-15] INFO  by.epam.cashbox.entity.Customer - Client №15 is waiting.
20:24:54 [Thread-19] INFO  by.epam.cashbox.entity.Customer - Client №19 is waiting.
20:24:54 [Thread-14] INFO  by.epam.cashbox.entity.Customer - Client №14 is waiting.
20:24:54 [Thread-8] INFO  by.epam.cashbox.entity.Customer - Client №8 is waiting.
20:24:54 [Thread-18] INFO  by.epam.cashbox.entity.Customer - Client №18 is waiting.
20:24:54 [Thread-8] INFO  by.epam.cashbox.entity.Customer - Client №8 is waiting.
20:24:54 [Thread-14] INFO  by.epam.cashbox.entity.Customer - Client №14 is waiting.
20:24:54 [Thread-6] INFO  by.epam.cashbox.entity.Customer - Client №6 is waiting.
20:24:54 [Thread-7] INFO  by.epam.cashbox.entity.Customer - Client №7 is waiting.
20:24:54 [Thread-19] INFO  by.epam.cashbox.entity.Customer - Client №19 is waiting.
20:24:54 [Thread-16] INFO  by.epam.cashbox.entity.Customer - Client №16 is waiting.
20:24:54 [Thread-13] INFO  by.epam.cashbox.entity.Customer - Client №13 is waiting.
20:24:54 [Thread-12] INFO  by.epam.cashbox.entity.Customer - Client №12 is waiting.
20:24:54 [Thread-17] INFO  by.epam.cashbox.entity.Customer - Client №17 is waiting.
20:24:54 [Thread-9] INFO  by.epam.cashbox.entity.Customer - Client №9 is waiting.
20:24:54 [Thread-15] INFO  by.epam.cashbox.entity.Customer - Client №15 is waiting.
20:24:54 [Thread-11] INFO  by.epam.cashbox.entity.Customer - Client №11 is waiting.
20:24:54 [Thread-10] INFO  by.epam.cashbox.entity.Customer - Client №10 is waiting.
20:24:54 [Thread-18] INFO  by.epam.cashbox.entity.Customer - Client №18 is waiting.
20:24:54 [Thread-20] INFO  by.epam.cashbox.entity.Customer - Client №20 is waiting.
20:24:54 [Thread-13] INFO  by.epam.cashbox.entity.Customer - Client №13 is waiting.
20:24:54 [Thread-8] INFO  by.epam.cashbox.entity.Customer - Client №8 is waiting.
20:24:54 [Thread-18] INFO  by.epam.cashbox.entity.Customer - Client №18 is waiting.
20:24:54 [Thread-16] INFO  by.epam.cashbox.entity.Customer - Client №16 is waiting.
20:24:54 [Thread-11] INFO  by.epam.cashbox.entity.Customer - Client №11 is waiting.
20:24:54 [Thread-9] INFO  by.epam.cashbox.entity.Customer - Client №9 is waiting.
20:24:54 [Thread-10] INFO  by.epam.cashbox.entity.Customer - Client №10 is waiting.
20:24:54 [Thread-19] INFO  by.epam.cashbox.entity.Customer - Client №19 is waiting.
20:24:54 [Thread-17] INFO  by.epam.cashbox.entity.Customer - Client №17 is waiting.
20:24:54 [Thread-15] INFO  by.epam.cashbox.entity.Customer - Client №15 is waiting.
20:24:54 [Thread-7] INFO  by.epam.cashbox.entity.Customer - Client №7 is waiting.
20:24:54 [Thread-6] INFO  by.epam.cashbox.entity.Customer - Client №6 is waiting.
20:24:54 [Thread-14] INFO  by.epam.cashbox.entity.Customer - Client №14 is waiting.
20:24:54 [Thread-12] INFO  by.epam.cashbox.entity.Customer - Client №12 is waiting.
20:24:54 [Thread-20] INFO  by.epam.cashbox.entity.Customer - Client №20 is waiting.
20:24:54 [Thread-17] INFO  by.epam.cashbox.entity.Customer - Client №17 is waiting.
20:24:54 [Thread-10] INFO  by.epam.cashbox.entity.Customer - Client №10 is waiting.
20:24:54 [Thread-12] INFO  by.epam.cashbox.entity.Customer - Client №12 is waiting.
20:24:54 [Thread-16] INFO  by.epam.cashbox.entity.Customer - Client №16 is waiting.
20:24:54 [Thread-8] INFO  by.epam.cashbox.entity.Customer - Client №8 is waiting.
20:24:54 [Thread-9] INFO  by.epam.cashbox.entity.Customer - Client №9 is waiting.
20:24:54 [Thread-13] INFO  by.epam.cashbox.entity.Customer - Client №13 is waiting.
20:24:54 [Thread-14] INFO  by.epam.cashbox.entity.Customer - Client №14 is waiting.
20:24:54 [Thread-7] INFO  by.epam.cashbox.entity.Customer - Client №7 is waiting.
20:24:54 [Thread-18] INFO  by.epam.cashbox.entity.Customer - Client №18 is waiting.
20:24:54 [Thread-6] INFO  by.epam.cashbox.entity.Customer - Client №6 is waiting.
20:24:54 [Thread-19] INFO  by.epam.cashbox.entity.Customer - Client №19 is waiting.
20:24:54 [Thread-20] INFO  by.epam.cashbox.entity.Customer - Client №20 is waiting.
20:24:54 [Thread-15] INFO  by.epam.cashbox.entity.Customer - Client №15 is waiting.
20:24:54 [Thread-11] INFO  by.epam.cashbox.entity.Customer - Client №11 is waiting.
20:24:54 [Thread-16] INFO  by.epam.cashbox.entity.Customer - Client №16 is waiting.
20:24:54 [Thread-7] INFO  by.epam.cashbox.entity.Customer - Client №7 is waiting.
20:24:54 [Thread-13] INFO  by.epam.cashbox.entity.Customer - Client №13 is waiting.
20:24:54 [Thread-17] INFO  by.epam.cashbox.entity.Customer - Client №17 is waiting.
20:24:54 [Thread-10] INFO  by.epam.cashbox.entity.Customer - Client №10 is waiting.
20:24:54 [Thread-18] INFO  by.epam.cashbox.entity.Customer - Client №18 is waiting.
20:24:54 [Thread-12] INFO  by.epam.cashbox.entity.Customer - Client №12 is waiting.
20:24:54 [Thread-11] INFO  by.epam.cashbox.entity.Customer - Client №11 is waiting.
20:24:54 [Thread-14] INFO  by.epam.cashbox.entity.Customer - Client №14 is waiting.
20:24:54 [Thread-9] INFO  by.epam.cashbox.entity.Customer - Client №9 is waiting.
20:24:54 [Thread-20] INFO  by.epam.cashbox.entity.Customer - Client №20 is waiting.
20:24:54 [Thread-15] INFO  by.epam.cashbox.entity.Customer - Client №15 is waiting.
20:24:54 [Thread-19] INFO  by.epam.cashbox.entity.Customer - Client №19 is waiting.
20:24:54 [Thread-8] INFO  by.epam.cashbox.entity.Customer - Client №8 is waiting.
20:24:54 [Thread-6] INFO  by.epam.cashbox.entity.Customer - Client №6 is waiting.
20:24:54 [Thread-15] INFO  by.epam.cashbox.entity.Customer - Client №15 is waiting.
20:24:54 [Thread-12] INFO  by.epam.cashbox.entity.Customer - Client №12 is waiting.
20:24:54 [Thread-17] INFO  by.epam.cashbox.entity.Customer - Client №17 is waiting.
20:24:54 [Thread-14] INFO  by.epam.cashbox.entity.Customer - Client №14 is waiting.
20:24:54 [Thread-16] INFO  by.epam.cashbox.entity.Customer - Client №16 is waiting.
20:24:54 [Thread-19] INFO  by.epam.cashbox.entity.Customer - Client №19 is waiting.
20:24:54 [Thread-6] INFO  by.epam.cashbox.entity.Customer - Client №6 is waiting.
20:24:54 [Thread-13] INFO  by.epam.cashbox.entity.Customer - Client №13 is waiting.
20:24:54 [Thread-7] INFO  by.epam.cashbox.entity.Customer - Client №7 is waiting.
20:24:54 [Thread-18] INFO  by.epam.cashbox.entity.Customer - Client №18 is waiting.
20:24:54 [Thread-20] INFO  by.epam.cashbox.entity.Customer - Client №20 is waiting.
20:24:54 [Thread-8] INFO  by.epam.cashbox.entity.Customer - Client №8 is waiting.
20:24:54 [Thread-9] INFO  by.epam.cashbox.entity.Customer - Client №9 is waiting.
20:24:54 [Thread-11] INFO  by.epam.cashbox.entity.Customer - Client №11 is waiting.
20:24:54 [Thread-10] INFO  by.epam.cashbox.entity.Customer - Client №10 is waiting.
20:24:54 [Thread-13] INFO  by.epam.cashbox.entity.Customer - Client №13 is waiting.
20:24:54 [Thread-15] INFO  by.epam.cashbox.entity.Customer - Client №15 is waiting.
20:24:54 [Thread-8] INFO  by.epam.cashbox.entity.Customer - Client №8 is served.
20:24:54 [Thread-16] INFO  by.epam.cashbox.entity.Customer - Client №16 is waiting.
20:24:54 [Thread-20] INFO  by.epam.cashbox.entity.Customer - Client №20 is served.
20:24:54 [Thread-12] INFO  by.epam.cashbox.entity.Customer - Client №12 is waiting.
20:24:54 [Thread-17] INFO  by.epam.cashbox.entity.Customer - Client №17 is waiting.
20:24:54 [Thread-19] INFO  by.epam.cashbox.entity.Customer - Client №19 is waiting.
20:24:54 [Thread-9] INFO  by.epam.cashbox.entity.Customer - Client №9 is waiting.
20:24:54 [Thread-11] INFO  by.epam.cashbox.entity.Customer - Client №11 is waiting.
20:24:54 [Thread-14] INFO  by.epam.cashbox.entity.Customer - Client №14 is waiting.
20:24:54 [Thread-7] INFO  by.epam.cashbox.entity.Customer - Client №7 is served.
20:24:54 [Thread-6] INFO  by.epam.cashbox.entity.Customer - Client №6 is served.
20:24:54 [Thread-10] INFO  by.epam.cashbox.entity.Customer - Client №10 is served.
20:24:54 [Thread-18] INFO  by.epam.cashbox.entity.Customer - Client №18 is waiting.
20:24:54 [Thread-13] INFO  by.epam.cashbox.entity.Customer - Client №13 is waiting.
20:24:54 [Thread-11] INFO  by.epam.cashbox.entity.Customer - Client №11 is waiting.
20:24:54 [Thread-19] INFO  by.epam.cashbox.entity.Customer - Client №19 is waiting.
20:24:54 [Thread-16] INFO  by.epam.cashbox.entity.Customer - Client №16 is waiting.
20:24:54 [Thread-9] INFO  by.epam.cashbox.entity.Customer - Client №9 is waiting.
20:24:54 [Thread-15] INFO  by.epam.cashbox.entity.Customer - Client №15 is waiting.
20:24:54 [Thread-14] INFO  by.epam.cashbox.entity.Customer - Client №14 is waiting.
20:24:54 [Thread-17] INFO  by.epam.cashbox.entity.Customer - Client №17 is waiting.
20:24:54 [Thread-12] INFO  by.epam.cashbox.entity.Customer - Client №12 is waiting.
20:24:54 [Thread-18] INFO  by.epam.cashbox.entity.Customer - Client №18 is waiting.
20:24:54 [Thread-14] INFO  by.epam.cashbox.entity.Customer - Client №14 is waiting.
20:24:54 [Thread-15] INFO  by.epam.cashbox.entity.Customer - Client №15 is waiting.
20:24:54 [Thread-17] INFO  by.epam.cashbox.entity.Customer - Client №17 is waiting.
20:24:54 [Thread-16] INFO  by.epam.cashbox.entity.Customer - Client №16 is waiting.
20:24:54 [Thread-11] INFO  by.epam.cashbox.entity.Customer - Client №11 is waiting.
20:24:54 [Thread-13] INFO  by.epam.cashbox.entity.Customer - Client №13 is waiting.
20:24:54 [Thread-9] INFO  by.epam.cashbox.entity.Customer - Client №9 is waiting.
20:24:54 [Thread-12] INFO  by.epam.cashbox.entity.Customer - Client №12 is waiting.
20:24:54 [Thread-19] INFO  by.epam.cashbox.entity.Customer - Client №19 is waiting.
20:24:54 [Thread-18] INFO  by.epam.cashbox.entity.Customer - Client №18 is waiting.
20:24:54 [Thread-15] INFO  by.epam.cashbox.entity.Customer - Client №15 is waiting.
20:24:54 [Thread-9] INFO  by.epam.cashbox.entity.Customer - Client №9 is waiting.
20:24:54 [Thread-13] INFO  by.epam.cashbox.entity.Customer - Client №13 is waiting.
20:24:54 [Thread-11] INFO  by.epam.cashbox.entity.Customer - Client №11 is waiting.
20:24:54 [Thread-16] INFO  by.epam.cashbox.entity.Customer - Client №16 is waiting.
20:24:54 [Thread-19] INFO  by.epam.cashbox.entity.Customer - Client №19 is waiting.
20:24:54 [Thread-17] INFO  by.epam.cashbox.entity.Customer - Client №17 is waiting.
20:24:54 [Thread-14] INFO  by.epam.cashbox.entity.Customer - Client №14 is waiting.
20:24:54 [Thread-12] INFO  by.epam.cashbox.entity.Customer - Client №12 is waiting.
20:24:54 [Thread-18] INFO  by.epam.cashbox.entity.Customer - Client №18 is waiting.
20:24:54 [Thread-18] INFO  by.epam.cashbox.entity.Customer - Client №18 is waiting.
20:24:54 [Thread-17] INFO  by.epam.cashbox.entity.Customer - Client №17 is waiting.
20:24:54 [Thread-15] INFO  by.epam.cashbox.entity.Customer - Client №15 is waiting.
20:24:54 [Thread-19] INFO  by.epam.cashbox.entity.Customer - Client №19 is waiting.
20:24:54 [Thread-12] INFO  by.epam.cashbox.entity.Customer - Client №12 is waiting.
20:24:54 [Thread-13] INFO  by.epam.cashbox.entity.Customer - Client №13 is waiting.
20:24:54 [Thread-11] INFO  by.epam.cashbox.entity.Customer - Client №11 is waiting.
20:24:54 [Thread-9] INFO  by.epam.cashbox.entity.Customer - Client №9 is waiting.
20:24:54 [Thread-14] INFO  by.epam.cashbox.entity.Customer - Client №14 is waiting.
20:24:54 [Thread-16] INFO  by.epam.cashbox.entity.Customer - Client №16 is waiting.
20:24:54 [Thread-9] INFO  by.epam.cashbox.entity.Customer - Client №9 is waiting.
20:24:54 [Thread-17] INFO  by.epam.cashbox.entity.Customer - Client №17 is waiting.
20:24:54 [Thread-14] INFO  by.epam.cashbox.entity.Customer - Client №14 is waiting.
20:24:54 [Thread-18] INFO  by.epam.cashbox.entity.Customer - Client №18 is waiting.
20:24:54 [Thread-19] INFO  by.epam.cashbox.entity.Customer - Client №19 is waiting.
20:24:54 [Thread-15] INFO  by.epam.cashbox.entity.Customer - Client №15 is waiting.
20:24:54 [Thread-11] INFO  by.epam.cashbox.entity.Customer - Client №11 is waiting.
20:24:54 [Thread-13] INFO  by.epam.cashbox.entity.Customer - Client №13 is waiting.
20:24:54 [Thread-16] INFO  by.epam.cashbox.entity.Customer - Client №16 is waiting.
20:24:54 [Thread-12] INFO  by.epam.cashbox.entity.Customer - Client №12 is waiting.
20:24:54 [Thread-18] INFO  by.epam.cashbox.entity.Customer - Client №18 is waiting.
20:24:54 [Thread-11] INFO  by.epam.cashbox.entity.Customer - Client №11 is waiting.
20:24:54 [Thread-17] INFO  by.epam.cashbox.entity.Customer - Client №17 is waiting.
20:24:54 [Thread-9] INFO  by.epam.cashbox.entity.Customer - Client №9 is waiting.
20:24:54 [Thread-16] INFO  by.epam.cashbox.entity.Customer - Client №16 is waiting.
20:24:54 [Thread-13] INFO  by.epam.cashbox.entity.Customer - Client №13 is waiting.
20:24:54 [Thread-12] INFO  by.epam.cashbox.entity.Customer - Client №12 is waiting.
20:24:54 [Thread-19] INFO  by.epam.cashbox.entity.Customer - Client №19 is waiting.
20:24:54 [Thread-15] INFO  by.epam.cashbox.entity.Customer - Client №15 is waiting.
20:24:54 [Thread-14] INFO  by.epam.cashbox.entity.Customer - Client №14 is waiting.
20:24:54 [Thread-12] INFO  by.epam.cashbox.entity.Customer - Client №12 is waiting.
20:24:54 [Thread-15] INFO  by.epam.cashbox.entity.Customer - Client №15 is waiting.
20:24:54 [Thread-13] INFO  by.epam.cashbox.entity.Customer - Client №13 is waiting.
20:24:54 [Thread-18] INFO  by.epam.cashbox.entity.Customer - Client №18 is waiting.
20:24:54 [Thread-9] INFO  by.epam.cashbox.entity.Customer - Client №9 is waiting.
20:24:54 [Thread-17] INFO  by.epam.cashbox.entity.Customer - Client №17 is waiting.
20:24:54 [Thread-19] INFO  by.epam.cashbox.entity.Customer - Client №19 is waiting.
20:24:54 [Thread-16] INFO  by.epam.cashbox.entity.Customer - Client №16 is waiting.
20:24:54 [Thread-11] INFO  by.epam.cashbox.entity.Customer - Client №11 is waiting.
20:24:54 [Thread-14] INFO  by.epam.cashbox.entity.Customer - Client №14 is waiting.
20:24:54 [Thread-14] INFO  by.epam.cashbox.entity.Customer - Client №14 is waiting.
20:24:54 [Thread-19] INFO  by.epam.cashbox.entity.Customer - Client №19 is waiting.
